id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10080,D1 -  Million Dollar View 2 BR,30899,Rami,,Downtown,49.28772,-123.1211,Entire home/apt,296,60,16,2017-02-26,0.18,33,191
11400,Central Lovely Rm in Victorian Home,42305,Jaynne,,Riley Park,49.25376,-123.11266,Private room,60,364,70,2016-06-14,0.64,1,365
13188,Garden level studio in ideal loc.,51466,Family Guns,,Riley Park,49.24577,-123.10516,Entire home/apt,120,2,171,2019-02-24,1.55,1,214
13357,! Wow! 2bed 2bath 1bed den Harbour View Apartment!,52118,Liliana,,Downtown Eastside,49.27955,-123.10546,Entire home/apt,155,30,56,2018-08-31,0.51,2,304
13358,Urban Boutique Suite heart of Downtown Vancouver!,52116,Lynn,,West End,49.28209,-123.12515,Entire home/apt,120,1,393,2019-02-21,3.71,1,23
13490,Vancouver's best kept secret,52467,Iris,,Kensington-Cedar Cottage,49.2555,-123.06696,Entire home/apt,145,30,82,2018-09-30,0.87,1,297
14267,EcoLoft Vancouver,56030,Peter & Alison,,Kensington-Cedar Cottage,49.24974,-123.08108,Entire home/apt,140,7,31,2018-07-08,0.30,1,35
14508, Yaletown - Sea Wall,57043,Linda,,Downtown,49.27419,-123.12955,Entire home/apt,140,90,31,2013-07-13,0.28,1,365
16254,Close to PNE/Hastings Park and East Village,63238,Jason,,Hastings-Sunrise,49.27734,-123.04152,Private room,220,3,3,2018-08-26,0.41,1,169
17158,Vancouver 4br 3ba house 20min to DT,48673,Elaine,,Renfrew-Collingwood,49.25195,-123.0355,Entire home/apt,134,4,5,2018-03-31,0.05,1,154
17765,"Central location, nice little apartment",68672,James,,Mount Pleasant,49.26181,-123.10905,Entire home/apt,99,3,172,2019-01-03,2.20,1,0
18270,private rm in clean central 2BR apt,70437,Ran,,Mount Pleasant,49.26564,-123.09524,Private room,55,30,117,2018-10-31,1.20,2,281
18589,Commercial Drive B&B,71508,Sylvain & Alexis,,Grandview-Woodland,49.27427,-123.07063,Private room,81,1,322,2019-02-26,3.41,1,9
18795,*Best choice in downtown-5 Stars *,70137,Kai,,West End,49.28251,-123.12827,Private room,95,3,99,2019-01-02,1.03,3,266
19527,Charming Apartment in South Granville,74129,Bevin,,Fairview,49.26117,-123.13535,Entire home/apt,108,4,19,2018-09-07,0.17,1,63
19621,2 bedroom in prime Downtown Location-Yaletown,74380,Shirin,,Downtown,49.27354,-123.11848,Entire home/apt,189,120,0,,,1,155
20085,Bright & Cheerful Uptown Garden Suite,75986,Tony And Rachel,,Mount Pleasant,49.25732,-123.08545,Entire home/apt,110,30,71,2019-01-17,0.65,1,223
20566,Downtown Vancouver Perfect Suite,77672,Shona,,West End,49.28219,-123.12503,Entire home/apt,235,3,42,2019-01-02,0.38,1,155
21912,PRIVATE ROOM + BATH + KING BED + SEPARATE ENTRY,83871,Adam,,Renfrew-Collingwood,49.23365,-123.05439,Private room,50,3,283,2019-02-28,3.03,3,220
21913,PRIVATE  SUITE (KITCHEN+ BEDROOM+BATH+LIVING ROOM),83871,Adam,,Renfrew-Collingwood,49.23427,-123.05309,Entire home/apt,65,30,196,2018-12-27,2.20,3,214
24273,"Walker's paradise in Kitsilano
License # (Phone number hidden by Airbnb)",1267409,Julia,,Kitsilano,49.2626,-123.17308,Entire home/apt,300,2,6,2018-12-31,0.09,2,229
