,neighbourhood_cleansed,Word,Word_Count
0,Downtown,great,24730
1,Downtown,location,18912
2,Downtown,place,18262
3,Downtown,stay,15037
4,Downtown,apartment,13053
5,Downtown,vancouver,10744
6,Downtown,clean,9742
7,Downtown,would,8962
8,Downtown,host,7730
9,Downtown,everything,7592
10,Downtown,us,6771
11,Downtown,nice,6121
12,Downtown,recommend,6102
13,Downtown,easy,5972
14,Downtown,downtown,5736
15,Downtown,perfect,5505
16,Downtown,close,4863
17,Downtown,definitely,4860
18,Downtown,comfortable,4736
19,Downtown,view,4714
20,Downtown,well,4695
21,Downtown,good,4425
22,Downtown,amazing,4386
23,Downtown,really,4257
24,Downtown,restaurants,4164
25,Downtown,time,4072
26,Downtown,city,4072
27,Downtown,also,3794
28,Downtown,walking,3754
29,Downtown,walk,3706
30,Downtown,super,3200
31,Downtown,located,3196
32,Downtown,distance,3191
33,Downtown,highly,3174
34,Downtown,check,3146
35,Downtown,-,3113
36,Downtown,space,3110
37,Downtown,condo,3046
38,Downtown,helpful,3045
39,Downtown,views,3030
40,Downtown,room,2998
41,Downtown,parking,2992
42,Downtown,beautiful,2855
43,Downtown,building,2732
44,Downtown,get,2689
45,Downtown,need,2632
46,Downtown,right,2625
47,Downtown,excellent,2574
48,Downtown,wonderful,2481
49,Downtown,needed,2433
50,Riley Park,great,5647
51,Riley Park,place,4997
52,Riley Park,stay,4451
53,Riley Park,clean,3156
54,Riley Park,location,3047
55,Riley Park,vancouver,2468
56,Riley Park,would,2262
57,Riley Park,nice,2012
58,Riley Park,us,1864
59,Riley Park,comfortable,1845
60,Riley Park,house,1754
61,Riley Park,everything,1743
62,Riley Park,recommend,1742
63,Riley Park,easy,1607
64,Riley Park,restaurants,1603
65,Riley Park,close,1547
66,Riley Park,host,1500
67,Riley Park,really,1468
68,Riley Park,main,1468
69,Riley Park,home,1466
70,Riley Park,street,1426
71,Riley Park,well,1339
72,Riley Park,good,1334
73,Riley Park,perfect,1323
74,Riley Park,room,1302
75,Riley Park,downtown,1266
76,Riley Park,definitely,1260
77,Riley Park,space,1258
78,Riley Park,quiet,1250
79,Riley Park,also,1158
80,Riley Park,apartment,1108
81,Riley Park,time,1072
82,Riley Park,suite,1033
83,Riley Park,hosts,1032
84,Riley Park,lovely,1029
85,Riley Park,shops,940
86,Riley Park,neighborhood,933
87,Riley Park,super,923
88,Riley Park,highly,891
89,Riley Park,wonderful,867
90,Riley Park,walk,861
91,Riley Park,helpful,845
92,Riley Park,-,840
93,Riley Park,beautiful,819
94,Riley Park,area,816
95,Riley Park,needed,799
96,Riley Park,get,777
97,Riley Park,bus,771
98,Riley Park,need,759
99,Riley Park,friendly,755
100,Downtown Eastside,great,8906
101,Downtown Eastside,place,7619
102,Downtown Eastside,stay,6400
103,Downtown Eastside,location,4818
104,Downtown Eastside,vancouver,4168
105,Downtown Eastside,apartment,3997
106,Downtown Eastside,clean,3699
107,Downtown Eastside,would,3534
108,Downtown Eastside,host,2880
109,Downtown Eastside,us,2852
110,Downtown Eastside,everything,2462
111,Downtown Eastside,recommend,2459
112,Downtown Eastside,nice,2448
113,Downtown Eastside,comfortable,2293
114,Downtown Eastside,easy,2291
115,Downtown Eastside,really,2172
116,Downtown Eastside,close,2142
117,Downtown Eastside,downtown,1955
118,Downtown Eastside,gastown,1948
119,Downtown Eastside,perfect,1921
120,Downtown Eastside,definitely,1897
121,Downtown Eastside,home,1890
122,Downtown Eastside,space,1890
123,Downtown Eastside,well,1864
124,Downtown Eastside,restaurants,1812
125,Downtown Eastside,good,1731
126,Downtown Eastside,walk,1693
127,Downtown Eastside,time,1680
128,Downtown Eastside,area,1642
129,Downtown Eastside,also,1632
130,Downtown Eastside,amazing,1602
131,Downtown Eastside,beautiful,1544
132,Downtown Eastside,city,1527
133,Downtown Eastside,walking,1511
134,Downtown Eastside,super,1415
135,Downtown Eastside,-,1361
136,Downtown Eastside,helpful,1324
137,Downtown Eastside,lovely,1300
138,Downtown Eastside,highly,1290
139,Downtown Eastside,house,1270
140,Downtown Eastside,neighborhood,1194
141,Downtown Eastside,loved,1188
142,Downtown Eastside,wonderful,1184
143,Downtown Eastside,around,1178
144,Downtown Eastside,distance,1163
145,Downtown Eastside,get,1132
146,Downtown Eastside,made,1113
147,Downtown Eastside,room,1110
148,Downtown Eastside,staying,1092
149,Downtown Eastside,like,1080
150,West End,great,8212
151,West End,location,6481
152,West End,place,6247
153,West End,stay,5346
154,West End,apartment,4798
155,West End,vancouver,3923
156,West End,clean,3503
157,West End,host,3058
158,West End,would,2891
159,West End,everything,2862
160,West End,us,2549
161,West End,recommend,2135
162,West End,nice,2118
163,West End,perfect,2040
164,West End,downtown,2022
165,West End,easy,1937
166,West End,comfortable,1891
167,West End,close,1795
168,West End,well,1756
169,West End,really,1681
170,West End,restaurants,1595
171,West End,definitely,1595
172,West End,good,1543
173,West End,walk,1462
174,West End,time,1443
175,West End,also,1438
176,West End,walking,1406
177,West End,amazing,1309
178,West End,park,1279
179,West End,city,1232
180,West End,room,1205
181,West End,distance,1183
182,West End,helpful,1166
183,West End,highly,1096
184,West End,super,1093
185,West End,stanley,1090
186,West End,located,1076
187,West End,-,1064
188,West End,view,1034
189,West End,home,996
190,West End,need,954
191,West End,wonderful,948
192,West End,check,945
193,West End,needed,915
194,West End,excellent,907
195,West End,street,900
196,West End,space,876
197,West End,parking,875
198,West End,beautiful,871
199,West End,made,862
200,Kensington-Cedar Cottage,place,5787
201,Kensington-Cedar Cottage,great,5322
202,Kensington-Cedar Cottage,stay,4894
203,Kensington-Cedar Cottage,clean,3757
204,Kensington-Cedar Cottage,vancouver,2743
205,Kensington-Cedar Cottage,nice,2488
206,Kensington-Cedar Cottage,location,2434
207,Kensington-Cedar Cottage,would,2400
208,Kensington-Cedar Cottage,us,2141
209,Kensington-Cedar Cottage,house,2131
210,Kensington-Cedar Cottage,comfortable,1936
211,Kensington-Cedar Cottage,recommend,1871
212,Kensington-Cedar Cottage,everything,1864
213,Kensington-Cedar Cottage,host,1761
214,Kensington-Cedar Cottage,easy,1736
215,Kensington-Cedar Cottage,good,1687
216,Kensington-Cedar Cottage,really,1653
217,Kensington-Cedar Cottage,home,1598
218,Kensington-Cedar Cottage,close,1554
219,Kensington-Cedar Cottage,downtown,1432
220,Kensington-Cedar Cottage,well,1390
221,Kensington-Cedar Cottage,room,1354
222,Kensington-Cedar Cottage,definitely,1348
223,Kensington-Cedar Cottage,quiet,1299
224,Kensington-Cedar Cottage,perfect,1203
225,Kensington-Cedar Cottage,space,1200
226,Kensington-Cedar Cottage,time,1148
227,Kensington-Cedar Cottage,bus,1108
228,Kensington-Cedar Cottage,also,1070
229,Kensington-Cedar Cottage,friendly,1053
230,Kensington-Cedar Cottage,hosts,1033
231,Kensington-Cedar Cottage,super,1023
232,Kensington-Cedar Cottage,apartment,980
233,Kensington-Cedar Cottage,helpful,955
234,Kensington-Cedar Cottage,lovely,955
235,Kensington-Cedar Cottage,suite,952
236,Kensington-Cedar Cottage,get,913
237,Kensington-Cedar Cottage,restaurants,903
238,Kensington-Cedar Cottage,kitchen,888
239,Kensington-Cedar Cottage,bed,881
240,Kensington-Cedar Cottage,family,875
241,Kensington-Cedar Cottage,needed,864
242,Kensington-Cedar Cottage,need,860
243,Kensington-Cedar Cottage,highly,842
244,Kensington-Cedar Cottage,walk,791
245,Kensington-Cedar Cottage,wonderful,766
246,Kensington-Cedar Cottage,like,760
247,Kensington-Cedar Cottage,-,753
248,Kensington-Cedar Cottage,neighborhood,743
249,Kensington-Cedar Cottage,area,723
250,Hastings-Sunrise,place,4800
251,Hastings-Sunrise,great,4269
252,Hastings-Sunrise,stay,3857
253,Hastings-Sunrise,clean,2887
254,Hastings-Sunrise,vancouver,2205
255,Hastings-Sunrise,nice,1934
256,Hastings-Sunrise,would,1921
257,Hastings-Sunrise,us,1830
258,Hastings-Sunrise,location,1680
259,Hastings-Sunrise,house,1555
260,Hastings-Sunrise,comfortable,1553
261,Hastings-Sunrise,recommend,1533
262,Hastings-Sunrise,everything,1483
263,Hastings-Sunrise,host,1477
264,Hastings-Sunrise,easy,1422
265,Hastings-Sunrise,downtown,1376
266,Hastings-Sunrise,home,1290
267,Hastings-Sunrise,really,1223
268,Hastings-Sunrise,close,1092
269,Hastings-Sunrise,definitely,1080
270,Hastings-Sunrise,good,1042
271,Hastings-Sunrise,quiet,1029
272,Hastings-Sunrise,space,1024
273,Hastings-Sunrise,well,1019
274,Hastings-Sunrise,time,953
275,Hastings-Sunrise,bus,940
276,Hastings-Sunrise,perfect,923
277,Hastings-Sunrise,also,856
278,Hastings-Sunrise,super,827
279,Hastings-Sunrise,room,811
280,Hastings-Sunrise,apartment,777
281,Hastings-Sunrise,hosts,770
282,Hastings-Sunrise,friendly,753
283,Hastings-Sunrise,get,752
284,Hastings-Sunrise,highly,729
285,Hastings-Sunrise,needed,726
286,Hastings-Sunrise,lovely,721
287,Hastings-Sunrise,helpful,694
288,Hastings-Sunrise,suite,678
289,Hastings-Sunrise,need,653
290,Hastings-Sunrise,neighborhood,634
291,Hastings-Sunrise,beautiful,624
292,Hastings-Sunrise,area,623
293,Hastings-Sunrise,kitchen,617
294,Hastings-Sunrise,family,613
295,Hastings-Sunrise,wonderful,606
296,Hastings-Sunrise,made,600
297,Hastings-Sunrise,cozy,596
298,Hastings-Sunrise,little,595
299,Hastings-Sunrise,staying,594
300,Renfrew-Collingwood,place,4555
301,Renfrew-Collingwood,great,3581
302,Renfrew-Collingwood,stay,3487
303,Renfrew-Collingwood,clean,3151
304,Renfrew-Collingwood,nice,1955
305,Renfrew-Collingwood,room,1803
306,Renfrew-Collingwood,vancouver,1694
307,Renfrew-Collingwood,would,1659
308,Renfrew-Collingwood,location,1650
309,Renfrew-Collingwood,house,1522
310,Renfrew-Collingwood,host,1415
311,Renfrew-Collingwood,comfortable,1377
312,Renfrew-Collingwood,good,1364
313,Renfrew-Collingwood,us,1349
314,Renfrew-Collingwood,recommend,1309
315,Renfrew-Collingwood,easy,1255
316,Renfrew-Collingwood,everything,1242
317,Renfrew-Collingwood,really,1135
318,Renfrew-Collingwood,close,1105
319,Renfrew-Collingwood,skytrain,953
320,Renfrew-Collingwood,quiet,951
321,Renfrew-Collingwood,definitely,939
322,Renfrew-Collingwood,downtown,925
323,Renfrew-Collingwood,well,885
324,Renfrew-Collingwood,home,865
325,Renfrew-Collingwood,time,811
326,Renfrew-Collingwood,also,759
327,Renfrew-Collingwood,station,753
328,Renfrew-Collingwood,get,737
329,Renfrew-Collingwood,walk,731
330,Renfrew-Collingwood,train,728
331,Renfrew-Collingwood,super,710
332,Renfrew-Collingwood,perfect,678
333,Renfrew-Collingwood,bed,666
334,Renfrew-Collingwood,space,655
335,Renfrew-Collingwood,friendly,646
336,Renfrew-Collingwood,helpful,634
337,Renfrew-Collingwood,like,599
338,Renfrew-Collingwood,convenient,591
339,Renfrew-Collingwood,kitchen,581
340,Renfrew-Collingwood,highly,576
341,Renfrew-Collingwood,need,551
342,Renfrew-Collingwood,needed,545
343,Renfrew-Collingwood,bathroom,540
344,Renfrew-Collingwood,apartment,529
345,Renfrew-Collingwood,check,514
346,Renfrew-Collingwood,bus,509
347,Renfrew-Collingwood,parking,508
348,Renfrew-Collingwood,area,508
349,Renfrew-Collingwood,it's,500
350,Mount Pleasant,great,7080
351,Mount Pleasant,place,6043
352,Mount Pleasant,stay,5254
353,Mount Pleasant,location,3796
354,Mount Pleasant,clean,3298
355,Mount Pleasant,vancouver,3265
356,Mount Pleasant,apartment,2762
357,Mount Pleasant,would,2762
358,Mount Pleasant,host,2370
359,Mount Pleasant,nice,2269
360,Mount Pleasant,us,2181
361,Mount Pleasant,easy,2074
362,Mount Pleasant,comfortable,2066
363,Mount Pleasant,everything,2048
