,neighbourhood_cleansed,Word,Word_Count
0,Downtown,vancouver,680
1,Downtown,downtown,645
2,Downtown,bedroom,397
3,Downtown,yaletown,387
4,Downtown,located,377
5,Downtown,apartment,372
6,Downtown,place,357
7,Downtown,location,332
8,Downtown,walk,325
9,Downtown,heart,319
10,Downtown,restaurants,313
11,Downtown,room,271
12,Downtown,2,262
13,Downtown,one,255
14,Downtown,city,254
15,Downtown,away,253
16,Downtown,shopping,252
17,Downtown,1,248
18,Downtown,parking,247
19,Downtown,views,240
20,Downtown,bed,228
21,Downtown,skytrain,225
22,Downtown,suite,212
23,Downtown,kitchen,209
24,Downtown,street,202
25,Downtown,building,202
26,Downtown,walking,201
27,Downtown,steps,200
28,Downtown,enjoy,193
29,Downtown,condo,191
30,Downtown,distance,191
31,Downtown,park,191
32,Downtown,close,186
33,Downtown,seawall,184
34,Downtown,station,182
35,Downtown,stay,181
36,Downtown,everything,180
37,Downtown,modern,179
38,Downtown,living,177
39,Downtown,-,176
40,Downtown,home,174
41,Downtown,furnished,170
42,Downtown,robson,165
43,Downtown,great,163
44,Downtown,centre,163
45,Downtown,private,162
46,Downtown,view,156
47,Downtown,fully,156
48,Downtown,beautiful,156
49,Downtown,granville,154
50,Riley Park,main,171
51,Riley Park,street,164
52,Riley Park,room,154
53,Riley Park,vancouver,151
54,Riley Park,home,133
55,Riley Park,private,127
56,Riley Park,house,126
57,Riley Park,downtown,117
58,Riley Park,restaurants,114
59,Riley Park,suite,104
60,Riley Park,located,97
61,Riley Park,park,96
62,Riley Park,2,93
63,Riley Park,bedroom,90
64,Riley Park,queen,85
65,Riley Park,walk,85
66,Riley Park,kitchen,76
67,Riley Park,bathroom,72
68,Riley Park,close,71
69,Riley Park,shops,71
70,Riley Park,great,67
71,Riley Park,one,66
72,Riley Park,quiet,62
73,Riley Park,transit,62
74,Riley Park,away,62
75,Riley Park,bright,61
76,Riley Park,new,60
77,Riley Park,living,57
78,Riley Park,neighbourhood,55
79,Riley Park,elizabeth,54
80,Riley Park,location,54
81,Riley Park,minutes,54
82,Riley Park,space,53
83,Riley Park,10,52
84,Riley Park,walking,52
85,Riley Park,comfortable,48
86,Riley Park,bed,48
87,Riley Park,area,47
88,Riley Park,min,47
89,Riley Park,full,47
90,Riley Park,spacious,46
91,Riley Park,shared,46
92,Riley Park,shopping,45
93,Riley Park,modern,45
94,Riley Park,1,45
95,Riley Park,newly,45
96,Riley Park,bus,45
97,Riley Park,best,44
98,Riley Park,coffee,44
99,Riley Park,parking,44
100,Downtown Eastside,gastown,145
101,Downtown Eastside,vancouver,117
102,Downtown Eastside,downtown,109
103,Downtown Eastside,restaurants,102
104,Downtown Eastside,walk,84
105,Downtown Eastside,chinatown,84
106,Downtown Eastside,located,82
107,Downtown Eastside,heart,80
108,Downtown Eastside,loft,71
109,Downtown Eastside,apartment,71
110,Downtown Eastside,home,69
111,Downtown Eastside,place,67
112,Downtown Eastside,space,65
113,Downtown Eastside,new,63
114,Downtown Eastside,bedroom,61
115,Downtown Eastside,modern,59
116,Downtown Eastside,kitchen,58
117,Downtown Eastside,steps,55
118,Downtown Eastside,2,52
119,Downtown Eastside,room,52
120,Downtown Eastside,away,52
121,Downtown Eastside,close,51
122,Downtown Eastside,bed,51
123,Downtown Eastside,views,51
124,Downtown Eastside,bars,50
125,Downtown Eastside,vancouver's,49
126,Downtown Eastside,city,49
127,Downtown Eastside,neighbourhood,49
128,Downtown Eastside,one,48
129,Downtown Eastside,distance,46
130,Downtown Eastside,building,45
131,Downtown Eastside,historic,45
132,Downtown Eastside,shops,45
133,Downtown Eastside,walking,44
134,Downtown Eastside,best,44
135,Downtown Eastside,great,43
136,Downtown Eastside,private,43
137,Downtown Eastside,skytrain,41
138,Downtown Eastside,living,41
139,Downtown Eastside,-,40
140,Downtown Eastside,strathcona,39
141,Downtown Eastside,parking,39
142,Downtown Eastside,minutes,37
143,Downtown Eastside,location,36
144,Downtown Eastside,trendy,36
145,Downtown Eastside,area,35
146,Downtown Eastside,perfect,35
147,Downtown Eastside,two,34
148,Downtown Eastside,stay,34
149,Downtown Eastside,floor,33
150,West End,vancouver,223
151,West End,downtown,218
152,West End,street,161
153,West End,park,153
154,West End,stanley,144
155,West End,apartment,136
156,West End,bedroom,131
157,West End,walk,131
158,West End,restaurants,128
159,West End,location,120
160,West End,robson,118
161,West End,away,110
162,West End,shopping,104
163,West End,1,104
164,West End,located,103
165,West End,heart,100
166,West End,west,99
167,West End,one,98
168,West End,2,97
169,West End,city,90
170,West End,end,89
171,West End,bay,87
172,West End,english,85
173,West End,great,74
174,West End,bed,73
175,West End,parking,73
176,West End,beach,73
177,West End,enjoy,71
178,West End,walking,71
179,West End,steps,70
180,West End,kitchen,67
181,West End,room,67
182,West End,building,66
183,West End,place,66
184,West End,stay,65
185,West End,suite,63
186,West End,close,61
187,West End,beautiful,60
188,West End,home,59
189,West End,views,56
190,West End,fully,56
191,West End,floor,56
192,West End,shops,56
193,West End,distance,55
194,West End,best,54
195,West End,furnished,53
196,West End,block,52
197,West End,everything,51
198,West End,st,51
199,West End,coal,51
200,Kensington-Cedar Cottage,home,182
201,Kensington-Cedar Cottage,vancouver,179
202,Kensington-Cedar Cottage,downtown,149
203,Kensington-Cedar Cottage,house,129
204,Kensington-Cedar Cottage,walk,121
205,Kensington-Cedar Cottage,drive,118
206,Kensington-Cedar Cottage,suite,117
207,Kensington-Cedar Cottage,bus,114
208,Kensington-Cedar Cottage,room,107
209,Kensington-Cedar Cottage,restaurants,105
210,Kensington-Cedar Cottage,street,93
211,Kensington-Cedar Cottage,quiet,91
212,Kensington-Cedar Cottage,private,90
213,Kensington-Cedar Cottage,away,89
214,Kensington-Cedar Cottage,2,88
215,Kensington-Cedar Cottage,kitchen,84
216,Kensington-Cedar Cottage,bedroom,84
217,Kensington-Cedar Cottage,close,84
218,Kensington-Cedar Cottage,located,83
219,Kensington-Cedar Cottage,commercial,79
220,Kensington-Cedar Cottage,great,73
221,Kensington-Cedar Cottage,minutes,72
222,Kensington-Cedar Cottage,neighbourhood,72
223,Kensington-Cedar Cottage,park,71
224,Kensington-Cedar Cottage,place,68
225,Kensington-Cedar Cottage,one,67
226,Kensington-Cedar Cottage,transit,67
227,Kensington-Cedar Cottage,modern,67
228,Kensington-Cedar Cottage,space,66
229,Kensington-Cedar Cottage,main,66
230,Kensington-Cedar Cottage,beautiful,65
231,Kensington-Cedar Cottage,min,64
232,Kensington-Cedar Cottage,3,63
233,Kensington-Cedar Cottage,skytrain,60
234,Kensington-Cedar Cottage,shops,58
235,Kensington-Cedar Cottage,lake,56
236,Kensington-Cedar Cottage,bed,55
237,Kensington-Cedar Cottage,stay,54
238,Kensington-Cedar Cottage,area,54
239,Kensington-Cedar Cottage,cozy,52
240,Kensington-Cedar Cottage,enjoy,52
241,Kensington-Cedar Cottage,new,50
242,Kensington-Cedar Cottage,city,50
243,Kensington-Cedar Cottage,5,50
244,Kensington-Cedar Cottage,east,49
245,Kensington-Cedar Cottage,living,48
246,Kensington-Cedar Cottage,free,48
247,Kensington-Cedar Cottage,floor,48
248,Kensington-Cedar Cottage,-,48
249,Kensington-Cedar Cottage,minute,46
250,Hastings-Sunrise,vancouver,169
251,Hastings-Sunrise,downtown,144
252,Hastings-Sunrise,home,104
253,Hastings-Sunrise,suite,92
254,Hastings-Sunrise,room,89
255,Hastings-Sunrise,house,88
256,Hastings-Sunrise,minutes,83
257,Hastings-Sunrise,private,80
258,Hastings-Sunrise,1,74
259,Hastings-Sunrise,bus,73
260,Hastings-Sunrise,bedroom,70
261,Hastings-Sunrise,located,69
262,Hastings-Sunrise,restaurants,62
263,Hastings-Sunrise,new,62
264,Hastings-Sunrise,kitchen,61
265,Hastings-Sunrise,drive,61
266,Hastings-Sunrise,2,60
267,Hastings-Sunrise,east,60
268,Hastings-Sunrise,close,59
269,Hastings-Sunrise,walk,57
270,Hastings-Sunrise,away,57
271,Hastings-Sunrise,access,52
272,Hastings-Sunrise,north,51
273,Hastings-Sunrise,quiet,49
274,Hastings-Sunrise,one,46
275,Hastings-Sunrise,street,46
276,Hastings-Sunrise,place,46
277,Hastings-Sunrise,area,45
278,Hastings-Sunrise,location,44
279,Hastings-Sunrise,skytrain,44
280,Hastings-Sunrise,walking,41
281,Hastings-Sunrise,min,40
